customer_id,status,card_present_flag,balance,date,gender,age,merchant_suburb,merchant_state,amount,movement
CUS-2599279756,authorized,1.0,27.86,2018-08-01,F,43,Robinvale,VIC,28.0,debit
CUS-3904958894,authorized,1.0,689.22,2018-08-01,M,42,Chatswood,NSW,64.98,debit
CUS-2031327464,authorized,1.0,440.66,2018-08-01,M,40,Chatswood,NSW,14.28,debit
CUS-3255104878,authorized,1.0,29143.75,2018-08-01,F,43,Mossman Gorge,QLD,501.67,debit
CUS-3117610635,authorized,1.0,58154.74,2018-08-01,M,33,Rockbank,VIC,17.97,debit
CUS-3378712515,authorized,0.0,589.1,2018-08-01,F,24,Sydney,NSW,109.51,debit
CUS-2178051368,authorized,0.0,2058.92,2018-08-01,M,25,Cobram,VIC,27.39,debit
CUS-1433879684,authorized,1.0,1109.58,2018-08-01,M,24,Kilsyth,VIC,27.39,debit
CUS-2500783281,posted,,2040.58,2018-08-01,F,23,,,1626.48,credit
CUS-2630892467,posted,,3071.94,2018-08-01,F,26,,,46.0,debit
CUS-3026014945,posted,,150.08,2018-08-01,F,27,,,57.0,debit
CUS-326006476,posted,,3158.51,2018-08-01,M,22,,,983.36,credit
CUS-527400765,posted,,186371.86,2018-08-01,F,40,,,170.0,debit
CUS-443776336,authorized,1.0,4172.16,2018-08-01,M,19,Ceduna,SA,3.28,debit
CUS-2663907001,authorized,1.0,30163.44,2018-08-01,M,28,Bass Hill,NSW,33.45,debit
CUS-1433879684,posted,,2517.66,2018-08-01,M,24,,,1408.08,credit
CUS-2178051368,posted,,2032.92,2018-08-01,M,25,,,26.0,debit
CUS-4123612273,posted,,2271.79,2018-08-01,F,43,,,1068.04,credit
CUS-3255104878,authorized,0.0,29128.11,2018-08-01,F,43,Lara,VIC,15.64,debit
CUS-2487424745,posted,,1017.52,2018-08-01,F,26,,,1013.67,credit
CUS-164374203,authorized,1.0,119.88,2018-08-01,F,20,Minchinbury,NSW,17.26,debit
CUS-3378712515,authorized,0.0,538.85,2018-08-01,F,24,Melbourne,VIC,50.25,debit
CUS-4142663097,authorized,1.0,486.68,2018-08-01,F,34,Stuart Park,NT,22.25,debit
CUS-1614226872,authorized,1.0,2029.05,2018-08-01,F,40,Port Macquarie,NSW,11.05,debit
CUS-883482547,authorized,1.0,1609.16,2018-08-01,F,19,Blacktown,NSW,16.18,debit
CUS-2031327464,authorized,0.0,429.2,2018-08-01,M,40,Brookvale,NSW,11.46,debit
CUS-1842679196,posted,,86.91,2018-08-01,F,18,,,36.0,debit
CUS-3249305314,posted,,28453.87,2018-08-01,M,38,,,35.0,debit
CUS-1271030853,authorized,0.0,86.3,2018-08-01,F,30,Windsor,VIC,5.29,debit
CUS-883482547,authorized,1.0,1602.58,2018-08-01,F,19,Hurstville,NSW,6.58,debit
CUS-1646621553,authorized,1.0,713.56,2018-08-01,M,26,O'connor,WA,16.03,debit
CUS-325142416,authorized,1.0,143.4,2018-08-01,F,21,Coconut Grove,NT,32.41,debit
CUS-537508723,authorized,1.0,750.75,2018-08-01,M,21,Wheelers Hill,VIC,12.89,debit
CUS-1646621553,authorized,1.0,697.46,2018-08-01,M,26,Taree,NSW,16.1,debit
CUS-3462882033,authorized,1.0,39595.08,2018-08-01,M,22,Carlton North,VIC,39.92,debit
CUS-1892177589,authorized,1.0,1082.64,2018-08-01,M,44,Doncaster East,VIC,8.1,debit
CUS-1117979751,posted,,2335.35,2018-08-01,M,21,,,55.0,debit
CUS-1196156254,posted,,16433.32,2018-08-01,F,34,,,3903.73,credit
CUS-164374203,posted,,8.06,2018-08-01,F,20,,,35.0,debit
CUS-1646621553,posted,,1796.37,2018-08-01,M,26,,,1098.91,credit
CUS-495599312,posted,,50383.16,2018-08-01,M,38,,,2647.38,credit
CUS-2688605418,authorized,1.0,1691.91,2018-08-01,M,20,Newtown,NSW,13.52,debit
CUS-164374203,authorized,0.0,43.06,2018-08-01,F,20,Brookvale,NSW,76.82,debit
CUS-527400765,authorized,0.0,186344.95,2018-08-01,F,40,Ballarat,VIC,26.91,debit
CUS-1271030853,posted,,1244.45,2018-08-01,F,30,,,1158.15,credit
CUS-1388323263,posted,,1969.05,2018-08-01,M,69,,,1043.12,credit
CUS-1617121891,posted,,1162.08,2018-08-01,M,22,,,33.0,debit
CUS-164374203,posted,,1403.55,2018-08-01,F,20,,,1395.49,credit
CUS-1790886359,posted,,7094.77,2018-08-01,M,39,,,3071.14,credit
CUS-2630892467,posted,,3021.94,2018-08-01,F,26,,,50.0,debit
CUS-4142663097,posted,,300.09,2018-08-01,F,34,,,168.0,debit
CUS-4023861240,authorized,0.0,6941.78,2018-08-01,M,28,Junee,NSW,22.59,debit
CUS-1892177589,authorized,1.0,1067.36,2018-08-01,M,44,Reservoir,VIC,15.28,debit
CUS-586638664,authorized,1.0,189.55,2018-08-01,F,18,Robertson,SA,5.62,debit
CUS-3129499595,authorized,1.0,492.41,2018-08-01,M,31,Haymarket,NSW,93.79,debit
CUS-2500783281,authorized,1.0,2025.72,2018-08-01,F,23,Croydon,VIC,14.86,debit
CUS-4142663097,authorized,1.0,468.09,2018-08-01,F,34,Yarrawonga,NT,18.59,debit
CUS-423725039,posted,,860.46,2018-08-01,F,24,,,46.0,debit
CUS-2487424745,authorized,1.0,1006.85,2018-08-01,F,26,Bundall,QLD,10.67,debit
CUS-1896554896,authorized,0.0,6022.68,2018-08-01,M,35,Peterborough,SA,19.58,debit
CUS-1790886359,posted,,7046.77,2018-08-01,M,39,,,48.0,debit
CUS-2059096722,authorized,1.0,27984.9,2018-08-01,M,21,Lavington,NSW,26.75,debit
CUS-1140341822,authorized,1.0,823.53,2018-08-01,M,28,Docklands,VIC,9.21,debit
CUS-1196156254,authorized,1.0,16421.78,2018-08-01,F,34,North Wagga Wagga,NSW,11.54,debit
CUS-2487424745,authorized,0.0,995.57,2018-08-01,F,26,Elanora,QLD,11.28,debit
CUS-2059096722,authorized,1.0,27953.53,2018-08-01,M,21,North Ward,QLD,31.37,debit
CUS-3201519139,authorized,1.0,445.04,2018-08-01,M,37,Bucasia,QLD,23.86,debit
CUS-2317998716,posted,,4331.5,2018-08-01,M,19,,,17.0,debit
CUS-2500783281,posted,,1992.72,2018-08-01,F,23,,,33.0,debit
CUS-3026014945,posted,,117.08,2018-08-01,F,27,,,33.0,debit
CUS-3151318058,posted,,35322.36,2018-08-01,M,42,,,36.0,debit
CUS-1614226872,authorized,1.0,1963.94,2018-08-01,F,40,Brisbane Airport,QLD,65.11,debit
CUS-4023861240,authorized,0.0,6924.65,2018-08-01,M,28,Seven Mile Beach,TAS,17.13,debit
CUS-2348881191,posted,,1679.94,2018-08-01,F,41,,,43.0,debit
CUS-1739931018,authorized,1.0,34.97,2018-08-01,F,27,Tullamarine,VIC,7.29,debit
CUS-3325710106,authorized,1.0,614.93,2018-08-01,M,20,Camberwell,VIC,27.82,debit
CUS-2487424745,authorized,0.0,986.58,2018-08-01,F,26,Elanora,QLD,8.99,debit
CUS-1604596597,authorized,0.0,279.86,2018-08-01,M,38,Yass,NSW,21.79,debit
CUS-883482547,posted,,1569.58,2018-08-01,F,19,,,33.0,debit
CUS-2487424745,authorized,1.0,976.26,2018-08-01,F,26,Labrador,QLD,10.32,debit
CUS-511326734,authorized,1.0,94.45,2018-08-01,M,23,Yagoona,NSW,19.04,debit
CUS-1233833708,posted,,1884.41,2018-08-01,M,44,,,157.0,debit
CUS-1646621553,posted,,1767.37,2018-08-01,M,26,,,29.0,debit
CUS-1790886359,posted,,7014.77,2018-08-01,M,39,,,32.0,debit
CUS-2059096722,authorized,1.0,27923.06,2018-08-02,M,21,Docklands,VIC,30.47,debit
CUS-127297539,authorized,0.0,1074.43,2018-08-02,F,20,Rockingham,WA,15.16,debit
CUS-3142625864,authorized,1.0,163.59,2018-08-02,M,43,Taylors Lakes,VIC,10.07,debit
CUS-1462656821,authorized,1.0,8306.12,2018-08-02,M,23,Mortdale,NSW,35.99,debit
CUS-3142625864,posted,,147.59,2018-08-02,M,43,,,16.0,debit
CUS-3336454548,authorized,1.0,128.21,2018-08-02,M,18,Arundel,QLD,32.06,debit
CUS-3117610635,authorized,1.0,58111.04,2018-08-02,M,33,Box Hill South,VIC,43.7,debit
CUS-1816693151,posted,,54980.99,2018-08-02,M,40,,,47.0,debit
CUS-2695611575,posted,,223.93,2018-08-02,M,37,,,52.0,debit
CUS-55310383,authorized,1.0,128.76,2018-08-02,F,30,Melbourne,VIC,36.07,debit
CUS-2110742437,posted,,6630.82,2018-08-02,M,20,,,39.0,debit
CUS-2348881191,posted,,1657.94,2018-08-02,F,41,,,22.0,debit
CUS-127297539,authorized,1.0,1066.35,2018-08-02,F,20,Beechboro,WA,8.08,debit
CUS-3702001629,authorized,1.0,15.93,2018-08-02,F,18,Southbank,VIC,22.49,debit
CUS-2317998716,posted,,4298.5,2018-08-02,M,19,,,33.0,debit
CUS-2695611575,posted,,205.93,2018-08-02,M,37,,,18.0,debit
CUS-1669695324,posted,,213.37,2018-08-02,F,25,,,46.0,debit
CUS-497688347,posted,,3117.58,2018-08-02,F,30,,,47.0,debit
CUS-3151318058,authorized,1.0,35305.32,2018-08-02,M,42,Bairnsdale,VIC,17.04,debit
CUS-2155701614,posted,,1580.32,2018-08-02,F,35,,,33.0,debit
CUS-3174332735,posted,,1146.46,2018-08-02,F,19,,,22.0,debit
CUS-4123612273,posted,,2074.79,2018-08-02,F,43,,,197.0,debit
CUS-1609060617,authorized,0.0,50671.14,2018-08-02,M,19,West Perth,WA,1692.56,debit
CUS-1614226872,authorized,1.0,1917.11,2018-08-02,F,40,Capalaba,QLD,46.83,debit
CUS-4123612273,posted,,2031.79,2018-08-02,F,43,,,43.0,debit
CUS-586638664,posted,,38.55,2018-08-02,F,18,,,151.0,debit
CUS-1005756958,authorized,1.0,463.96,2018-08-02,F,53,Clayfield,QLD,6.48,debit
CUS-527400765,authorized,1.0,186236.3,2018-08-02,F,40,Belrose,NSW,108.65,debit
CUS-3716701010,authorized,0.0,17.44,2018-08-02,F,47,Kingsley,WA,20.87,debit
CUS-1117979751,authorized,1.0,2293.86,2018-08-02,M,21,Adelaide,SA,41.49,debit
CUS-2487424745,authorized,1.0,968.15,2018-08-02,F,26,Burleigh Heads,QLD,8.11,debit
CUS-423725039,authorized,1.0,847.49,2018-08-02,F,24,Warwick,WA,12.97,debit
CUS-2376382098,authorized,1.0,4428.26,2018-08-02,F,39,Melbourne,VIC,46.12,debit
CUS-1196156254,posted,,16394.78,2018-08-02,F,34,,,27.0,debit
CUS-325142416,posted,,104.4,2018-08-02,F,21,,,39.0,debit
CUS-1928710999,authorized,0.0,842.07,2018-08-02,F,19,Wollert,VIC,25.7,debit
CUS-2630892467,authorized,1.0,2986.34,2018-08-02,F,26,Kidman Park,SA,35.6,debit
CUS-1614226872,authorized,1.0,1872.72,2018-08-02,F,40,Kalbarri,WA,44.39,debit
CUS-1614226872,authorized,1.0,1845.04,2018-08-02,F,40,Greenslopes,QLD,27.68,debit
CUS-1614226872,authorized,1.0,1826.34,2018-08-02,F,40,Coffs Harbour,NSW,18.7,debit
CUS-1614226872,authorized,1.0,1816.34,2018-08-02,F,40,Caffey,QLD,10.0,debit
CUS-1609060617,authorized,1.0,50657.65,2018-08-02,M,19,Perth,WA,13.49,debit
CUS-134193016,authorized,0.0,344.8,2018-08-02,F,21,Doncaster,VIC,20.26,debit
CUS-2487424745,authorized,1.0,956.92,2018-08-02,F,26,Labrador,QLD,11.23,debit
CUS-1892177589,authorized,1.0,1035.55,2018-08-02,M,44,Rye,VIC,31.81,debit
CUS-2487424745,authorized,1.0,949.22,2018-08-02,F,26,Ormeau,QLD,7.7,debit
CUS-1117979751,authorized,1.0,2285.02,2018-08-02,M,21,Melville,WA,8.84,debit
CUS-1646183815,authorized,1.0,49743.84,2018-08-02,M,78,East Melbourne,VIC,12.37,debit
CUS-1654129794,authorized,1.0,159.66,2018-08-02,F,64,Mount Beauty,VIC,31.5,debit
CUS-3378712515,authorized,1.0,521.73,2018-08-02,F,24,Narre Warren,VIC,17.12,debit
CUS-1433879684,posted,,2476.66,2018-08-02,M,24,,,41.0,debit
CUS-2630892467,posted,,3907.05,2018-08-02,F,26,,,920.71,credit
CUS-2688605418,posted,,1667.91,2018-08-02,M,20,,,24.0,debit
CUS-1196156254,authorized,1.0,16373.36,2018-08-02,F,34,Unley,SA,21.42,debit
CUS-2487424745,authorized,1.0,941.23,2018-08-02,F,26,Runaway Bay,QLD,7.99,debit
CUS-2487424745,authorized,1.0,931.76,2018-08-02,F,26,Byron Bay,NSW,9.47,debit
CUS-3336454548,authorized,1.0,107.79,2018-08-02,M,18,Labrador,QLD,20.42,debit
CUS-325142416,authorized,1.0,96.25,2018-08-02,F,21,Darwin City,NT,8.15,debit
CUS-1646621553,authorized,1.0,1742.72,2018-08-02,M,26,Fremantle,WA,24.65,debit
CUS-497688347,authorized,0.0,3047.08,2018-08-02,F,30,Goulburn,NSW,70.5,debit
CUS-2599279756,authorized,1.0,4.41,2018-08-02,F,43,Eden,NSW,23.45,debit
CUS-3151318058,authorized,1.0,35254.08,2018-08-02,M,42,Heyfield,VIC,51.24,debit
CUS-1646183815,posted,,50526.26,2018-08-02,M,78,,,782.42,credit
CUS-527400765,posted,,186195.3,2018-08-02,F,40,,,41.0,debit
CUS-537508723,posted,,715.75,2018-08-02,M,21,,,35.0,debit
CUS-497688347,authorized,1.0,3008.22,2018-08-02,F,30,Uraidla,SA,38.86,debit
CUS-2650223890,authorized,1.0,1903.7,2018-08-02,F,35,Yass,NSW,32.97,debit
CUS-2059096722,authorized,0.0,27898.89,2018-08-02,M,21,Leopold,VIC,24.17,debit
CUS-1462656821,posted,,8189.12,2018-08-02,M,23,,,117.0,debit
CUS-2283904812,posted,,2511.5,2018-08-02,M,22,,,2218.73,credit
CUS-2484453271,posted,,2666.12,2018-08-02,M,20,,,15.0,debit
CUS-443776336,authorized,1.0,4158.41,2018-08-02,M,19,Kardinya,WA,13.75,debit
CUS-511326734,authorized,1.0,86.96,2018-08-02,M,23,Narellan,NSW,7.49,debit
CUS-3336454548,authorized,1.0,92.48,2018-08-02,M,18,Mermaid Waters,QLD,15.31,debit
CUS-326006476,authorized,0.0,3130.0,2018-08-02,M,22,Lewisham,NSW,28.51,debit
CUS-1790886359,posted,,6954.77,2018-08-02,M,39,,,60.0,debit
CUS-860700529,posted,,1811.47,2018-08-02,M,30,,,1808.62,credit
CUS-1646621553,authorized,1.0,1712.39,2018-08-02,M,26,Leederville,WA,30.33,debit
CUS-2083971310,authorized,1.0,14.26,2018-08-02,M,31,Ryde,NSW,20.07,debit
CUS-1388323263,authorized,0.0,1948.27,2018-08-02,M,69,Melbourne,VIC,20.78,debit
CUS-2663907001,authorized,1.0,30130.77,2018-08-02,M,28,Lavender Bay,NSW,32.67,debit
CUS-3026014945,authorized,1.0,66.15,2018-08-02,F,27,Northgate,QLD,50.93,debit
CUS-1928710999,authorized,1.0,823.87,2018-08-02,F,19,Sunbury,VIC,18.2,debit
CUS-3151318058,authorized,1.0,35238.13,2018-08-02,M,42,Glengala,VIC,15.95,debit
CUS-1614226872,authorized,1.0,1791.0,2018-08-02,F,40,Browns Plains,QLD,25.34,debit
CUS-1233833708,posted,,2480.74,2018-08-02,M,44,,,596.33,credit
CUS-1614226872,posted,,1758.0,2018-08-02,F,40,,,33.0,debit
CUS-880898248,posted,,6722.85,2018-08-02,M,26,,,1433.98,credit
CUS-134193016,authorized,1.0,332.57,2018-08-02,F,21,Doncaster,VIC,12.23,debit
CUS-2348881191,authorized,1.0,1550.27,2018-08-02,F,41,Parkville,VIC,107.67,debit
CUS-2977593493,authorized,1.0,24268.73,2018-08-02,F,50,Mckinnon,VIC,10.13,debit
CUS-860700529,authorized,0.0,1789.31,2018-08-02,M,30,Toowoomba,QLD,22.16,debit
CUS-3989008654,authorized,1.0,1014.72,2018-08-02,M,25,Gooseberry Hill,WA,41.66,debit
CUS-1271030853,authorized,1.0,1236.27,2018-08-02,F,30,Sydney,NSW,8.18,debit
CUS-1609060617,authorized,1.0,50637.85,2018-08-02,M,19,Ravenswood,WA,19.8,debit
CUS-423725039,authorized,1.0,842.78,2018-08-02,F,24,Subiaco,WA,4.71,debit
CUS-1646621553,authorized,1.0,1663.59,2018-08-02,M,26,Claremont,WA,48.8,debit
CUS-2599279756,posted,,1634.77,2018-08-02,F,43,,,1630.36,credit
CUS-3201519139,posted,,1361.79,2018-08-02,M,37,,,916.75,credit
CUS-326006476,authorized,1.0,2866.56,2018-08-02,M,22,Parramatta,NSW,263.44,debit
CUS-586638664,authorized,1.0,2.38,2018-08-02,F,18,Punchbowl,NSW,36.17,debit
CUS-134193016,authorized,1.0,326.94,2018-08-02,F,21,Mitcham,VIC,5.63,debit
CUS-1462656821,authorized,0.0,8144.24,2018-08-02,M,23,Kadina,SA,44.88,debit
CUS-1462656821,posted,,7963.24,2018-08-02,M,23,,,181.0,debit
CUS-1892177589,posted,,1020.55,2018-08-02,M,44,,,15.0,debit
CUS-3462882033,posted,,42790.09,2018-08-02,M,22,,,3195.01,credit
CUS-4142663097,posted,,263.09,2018-08-02,F,34,,,37.0,debit
CUS-72755508,posted,,1067.25,2018-08-02,F,35,,,725.32,credit
CUS-3904958894,authorized,1.0,661.06,2018-08-02,M,42,Wollongong,NSW,28.16,debit
CUS-2695611575,authorized,1.0,200.94,2018-08-02,M,37,Yamba,NSW,4.99,debit
CUS-3904958894,authorized,1.0,636.59,2018-08-02,M,42,Brookvale,NSW,24.47,debit
CUS-2484453271,authorized,1.0,2658.88,2018-08-02,M,20,Collingwood,VIC,7.24,debit
CUS-2059096722,authorized,1.0,27884.42,2018-08-02,M,21,Wodonga,VIC,14.47,debit
CUS-1462656821,posted,,7922.24,2018-08-02,M,23,,,41.0,debit
CUS-1604596597,posted,,230.86,2018-08-02,M,38,,,49.0,debit
CUS-527400765,posted,,186174.3,2018-08-02,F,40,,,21.0,debit
CUS-809013380,posted,,1540.46,2018-08-02,F,21,,,135.0,debit
CUS-1499065773,authorized,1.0,13583.79,2018-08-02,F,46,North Sydney,NSW,97.95,debit
CUS-51506836,authorized,0.0,11424.58,2018-08-02,M,24,Kelvin Grove,QLD,13.93,debit
CUS-2370108457,posted,,260464.83,2018-08-02,M,46,,,50.0,debit
CUS-3904958894,authorized,1.0,605.9,2018-08-02,M,42,Northmead,NSW,30.69,debit
CUS-2599279756,authorized,1.0,1608.28,2018-08-02,F,43,Mansfield,VIC,26.49,debit
CUS-495599312,authorized,1.0,50192.66,2018-08-02,M,38,Darwin City,NT,190.5,debit
CUS-2663907001,authorized,1.0,30102.06,2018-08-02,M,28,Moorebank,NSW,28.71,debit
CUS-55310383,authorized,1.0,105.89,2018-08-02,F,30,West Perth,WA,22.87,debit
CUS-1478398256,authorized,0.0,5748.22,2018-08-02,M,38,Chippendale,NSW,40.31,debit
CUS-72755508,authorized,1.0,996.97,2018-08-02,F,35,Northmead,NSW,70.28,debit
CUS-1892177589,posted,,979.55,2018-08-02,M,44,,,41.0,debit
CUS-3431016847,posted,,290.88,2018-08-02,M,22,,,195.0,debit
CUS-1609060617,authorized,1.0,50590.99,2018-08-02,M,19,Ringwood,VIC,46.86,debit
CUS-3431016847,authorized,1.0,485.88,2018-08-02,M,22,Liverpool,NSW,23.25,debit
CUS-51506836,authorized,1.0,11366.83,2018-08-02,M,24,Sydney,NSW,57.75,debit
CUS-3462882033,posted,,42704.09,2018-08-02,M,22,,,86.0,debit
CUS-4023861240,posted,,6866.65,2018-08-02,M,28,,,58.0,debit
CUS-2738291516,authorized,0.0,147.58,2018-08-02,M,35,Kalbarri,WA,42.94,debit
CUS-1005756958,authorized,1.0,424.01,2018-08-02,F,53,Rangeville,QLD,39.95,debit
CUS-2738291516,authorized,1.0,119.37,2018-08-02,M,35,Meadowbrook,QLD,28.21,debit
CUS-880898248,authorized,1.0,6708.49,2018-08-02,M,26,Saint Albans,VIC,14.36,debit
CUS-1220154422,posted,,2795.85,2018-08-02,F,25,,,32.0,debit
CUS-1896554896,posted,,5986.68,2018-08-02,M,35,,,36.0,debit
CUS-2348881191,posted,,1441.27,2018-08-02,F,41,,,109.0,debit
CUS-3174332735,posted,,1038.46,2018-08-02,F,19,,,108.0,debit
CUS-331942311,posted,,45.89,2018-08-02,F,26,,,33.0,debit
CUS-1790886359,authorized,1.0,6879.81,2018-08-02,M,39,Hoppers Crossing,VIC,74.96,debit
CUS-2663907001,authorized,1.0,30056.51,2018-08-02,M,28,Beecroft,NSW,45.55,debit
CUS-1614226872,authorized,1.0,1697.39,2018-08-02,F,40,Elsternwick,VIC,60.61,debit
CUS-2376382098,posted,,4376.26,2018-08-02,F,39,,,52.0,debit
CUS-3117610635,posted,,58052.04,2018-08-02,M,33,,,59.0,debit
CUS-1609060617,authorized,1.0,50459.08,2018-08-02,M,19,Broken Hill,NSW,131.91,debit
CUS-2110742437,authorized,1.0,6619.25,2018-08-02,M,20,Glenelg East,SA,11.57,debit
CUS-860700529,authorized,1.0,1768.68,2018-08-02,M,30,Battery Hill,QLD,20.63,debit
CUS-3151318058,authorized,1.0,35205.33,2018-08-02,M,42,Lilydale,VIC,32.8,debit
CUS-2155701614,authorized,1.0,1564.62,2018-08-03,F,35,Malvern,VIC,15.7,debit
CUS-325142416,authorized,1.0,71.55,2018-08-03,F,21,Yarrawonga,NT,24.7,debit
CUS-2695611575,authorized,0.0,185.33,2018-08-03,M,37,Labrador,QLD,15.61,debit
CUS-3174332735,authorized,1.0,1009.91,2018-08-03,F,19,Camberwell,VIC,28.55,debit
CUS-3180318393,authorized,1.0,6.48,2018-08-03,M,27,Mount Clear,VIC,21.56,debit
CUS-1604596597,posted,,171.86,2018-08-03,M,38,,,59.0,debit
CUS-51506836,posted,,11323.83,2018-08-03,M,24,,,43.0,debit
CUS-1233833708,authorized,1.0,2460.9,2018-08-03,M,44,Box Hill,VIC,19.84,debit
CUS-2663907001,posted,,29932.51,2018-08-03,M,28,,,124.0,debit
CUS-3142625864,posted,,124.59,2018-08-03,M,43,,,23.0,debit
CUS-883482547,posted,,1529.58,2018-08-03,F,19,,,40.0,debit
CUS-4123612273,authorized,1.0,2014.57,2018-08-03,F,43,Thornbury,VIC,17.22,debit
CUS-2738291516,authorized,1.0,100.86,2018-08-03,M,35,Caboolture,QLD,18.51,debit
CUS-2663907001,posted,,29867.51,2018-08-03,M,28,,,65.0,debit
CUS-2110742437,authorized,1.0,6610.74,2018-08-03,M,20,Semaphore,SA,8.51,debit
CUS-2487424745,posted,,736.76,2018-08-03,F,26,,,195.0,debit
CUS-3462882033,posted,,42557.09,2018-08-03,M,22,,,147.0,debit
CUS-3989008654,posted,,986.72,2018-08-03,M,25,,,28.0,debit
CUS-809013380,posted,,1512.46,2018-08-03,F,21,,,28.0,debit
CUS-1433879684,authorized,1.0,2457.1,2018-08-03,M,24,Fitzroy,VIC,19.56,debit
